,SquareFeet,Bathrooms,Neighborhood,Bedrooms,Price
137,4640,1,no,4,5740000.0
138,5000,1,no,3,5740000.0
139,6360,1,yes,3,5740000.0
140,5800,2,no,3,5740000.0
141,6660,2,yes,4,5652500.0
142,10500,2,no,4,5600000.0
143,4800,2,no,5,5600000.0
144,4700,1,no,4,5600000.0
145,5000,1,no,3,5600000.0
146,10500,1,no,2,5600000.0
147,5500,2,no,3,5600000.0
148,6360,1,yes,3,5600000.0
149,6600,2,yes,4,5600000.0
150,5136,1,yes,3,5600000.0
151,4400,1,yes,4,5565000.0
152,5400,1,yes,5,5565000.0
153,3300,3,no,3,5530000.0
154,3650,2,no,3,5530000.0
155,6100,2,yes,3,5530000.0
156,6900,1,yes,3,5523000.0
157,2817,2,no,4,5495000.0
158,7980,1,no,3,5495000.0
159,3150,2,no,3,5460000.0
160,6210,1,no,4,5460000.0
161,6100,1,yes,3,5460000.0
162,6600,2,yes,4,5460000.0
163,6825,1,yes,3,5425000.0
164,6710,2,yes,3,5390000.0
165,6450,2,no,3,5383000.0
166,7800,1,yes,3,5320000.0
167,4600,2,no,2,5285000.0
168,4260,1,no,4,5250000.0
169,6540,2,no,4,5250000.0
170,5500,2,no,3,5250000.0
171,10269,1,yes,3,5250000.0
172,8400,1,yes,3,5250000.0
173,5300,2,yes,4,5250000.0
174,3800,1,yes,3,5250000.0
175,9800,2,no,4,5250000.0
176,8520,1,no,3,5250000.0
177,6050,1,yes,3,5243000.0
178,7085,1,yes,3,5229000.0
179,3180,2,no,3,5215000.0
180,4500,2,no,4,5215000.0
181,7200,1,yes,3,5215000.0
182,3410,1,no,3,5145000.0
183,7980,1,yes,3,5145000.0
184,3000,2,no,3,5110000.0
185,3000,1,no,3,5110000.0
186,11410,1,yes,2,5110000.0
187,6100,1,yes,3,5110000.0
188,5720,1,yes,2,5075000.0
189,3540,1,no,2,5040000.0
190,7600,1,no,4,5040000.0
191,10700,1,no,3,5040000.0
192,6600,1,yes,3,5040000.0
193,4800,1,no,2,5033000.0
194,8150,2,no,3,5005000.0
195,4410,3,no,4,4970000.0
196,7686,1,no,3,4970000.0
197,2800,2,no,3,4956000.0
198,5948,1,no,3,4935000.0
199,4200,1,no,3,4907000.0
200,4520,1,no,3,4900000.0
201,4095,1,no,3,4900000.0
202,4120,1,no,2,4900000.0
203,5400,1,no,4,4900000.0
204,4770,1,no,3,4900000.0
205,6300,1,no,3,4900000.0
206,5800,1,no,2,4900000.0
207,3000,1,no,3,4900000.0
208,2970,1,no,3,4900000.0
209,6720,1,no,3,4900000.0
210,4646,1,no,3,4900000.0
211,12900,1,no,3,4900000.0
212,3420,2,no,4,4893000.0
213,4995,2,no,4,4893000.0
214,4350,1,no,2,4865000.0
215,4160,1,no,3,4830000.0
216,6040,1,yes,3,4830000.0
217,6862,1,yes,3,4830000.0
218,4815,1,yes,2,4830000.0
219,7000,1,no,3,4795000.0
220,8100,1,no,4,4795000.0
221,3420,2,no,4,4767000.0
222,9166,1,no,2,4760000.0
223,6321,1,no,3,4760000.0
224,10240,1,yes,2,4760000.0
225,6440,1,no,2,4753000.0
226,5170,1,no,3,4690000.0
227,6000,1,no,2,4690000.0
228,3630,1,no,3,4690000.0
229,9667,2,no,4,4690000.0
230,5400,1,yes,2,4690000.0
231,4320,1,yes,3,4690000.0
232,3745,1,no,3,4655000.0
233,4160,1,no,3,4620000.0
234,3880,2,no,3,4620000.0
235,5680,1,no,3,4620000.0
236,2870,1,yes,2,4620000.0
237,5010,1,no,3,4620000.0
238,4510,2,no,4,4613000.0
239,4000,1,no,3,4585000.0
240,3840,1,yes,3,4585000.0
241,3760,1,no,3,4550000.0
242,3640,1,no,3,4550000.0
243,2550,1,no,3,4550000.0
244,5320,1,yes,3,4550000.0
245,5360,1,yes,3,4550000.0
246,3520,1,yes,3,4550000.0
247,8400,1,no,4,4550000.0
248,4100,2,no,2,4543000.0
249,4990,2,yes,4,4543000.0
250,3510,1,no,3,4515000.0
251,3450,1,no,3,4515000.0
252,9860,1,no,3,4515000.0
253,3520,1,yes,2,4515000.0
254,4510,1,no,4,4480000.0
255,5885,1,no,2,4480000.0
256,4000,1,no,3,4480000.0
257,8250,1,no,3,4480000.0
258,4040,1,no,3,4480000.0
259,6360,1,no,2,4473000.0
260,3162,1,no,3,4473000.0
261,3510,1,no,3,4473000.0
262,3750,1,no,2,4445000.0
263,3968,1,no,3,4410000.0
264,4900,1,no,2,4410000.0
265,2880,1,yes,3,4403000.0
266,4880,1,yes,3,4403000.0
267,4920,1,no,3,4403000.0
268,4950,1,no,4,4382000.0
269,3900,1,no,3,4375000.0
270,4500,2,no,3,4340000.0
271,1905,1,no,5,4340000.0
272,4075,1,no,3,4340000.0
273,3500,1,no,4,4340000.0
274,6450,1,no,4,4340000.0
275,4032,1,no,2,4319000.0
276,4400,1,no,2,4305000.0
277,10360,1,yes,2,4305000.0
278,3400,1,yes,3,4277000.0
279,6360,1,no,2,4270000.0
280,6360,1,no,2,4270000.0
281,4500,1,no,2,4270000.0
282,2175,1,no,3,4270000.0
283,4360,1,no,4,4270000.0
284,7770,1,no,2,4270000.0
285,6650,1,no,3,4235000.0
286,2787,1,yes,3,4235000.0
287,5500,1,no,3,4200000.0
288,5040,1,no,3,4200000.0
289,5850,1,no,2,4200000.0
290,2610,3,no,4,4200000.0
291,2953,1,no,3,4200000.0
292,2747,2,no,4,4200000.0
293,4410,1,no,2,4200000.0
294,4000,2,no,4,4200000.0
295,2325,1,no,3,4200000.0
296,4600,2,no,3,4200000.0
297,3640,2,no,3,4200000.0
298,5800,1,no,3,4200000.0
299,7000,1,no,3,4200000.0
300,4079,1,no,3,4200000.0
301,3520,1,yes,3,4200000.0
302,2145,1,yes,3,4200000.0
303,4500,1,no,3,4200000.0
304,8250,1,no,3,4193000.0
305,3450,1,no,3,4193000.0
306,4840,1,no,3,4165000.0
307,4080,1,no,3,4165000.0
308,4046,1,no,3,4165000.0
309,4632,1,no,4,4130000.0
310,5985,1,no,3,4130000.0
311,6060,1,no,2,4123000.0
312,3600,1,yes,3,4098500.0
313,3680,2,no,3,4095000.0
314,4040,1,no,2,4095000.0
315,5600,1,no,2,4095000.0
316,5900,2,no,4,4060000.0
317,4992,2,no,3,4060000.0
318,4340,1,no,3,4060000.0
319,3000,1,no,4,4060000.0
320,4320,1,yes,3,4060000.0
321,3630,2,no,3,4025000.0
322,3460,2,no,3,4025000.0
323,5400,1,no,3,4025000.0
324,4500,1,no,3,4007500.0
325,3460,1,no,4,4007500.0
326,4100,1,no,4,3990000.0
327,6480,1,no,3,3990000.0
328,4500,2,no,3,3990000.0
329,3960,1,no,3,3990000.0
330,4050,1,yes,2,3990000.0
331,7260,2,no,3,3920000.0
332,5500,1,no,4,3920000.0
333,3000,1,no,3,3920000.0
334,3290,1,no,2,3920000.0
335,3816,1,no,2,3920000.0
336,8080,1,no,3,3920000.0
337,2145,2,yes,4,3920000.0
338,3780,1,no,2,3885000.0
339,3180,2,no,4,3885000.0
340,5300,2,no,5,3850000.0
341,3180,2,no,2,3850000.0
342,7152,1,no,3,3850000.0
343,4080,1,no,2,3850000.0
344,3850,1,no,2,3850000.0
345,2015,1,yes,3,3850000.0
346,2176,1,yes,2,3850000.0
347,3350,1,no,3,3836000.0
348,3150,2,no,2,3815000.0
349,4820,1,no,3,3780000.0
350,3420,1,no,2,3780000.0
351,3600,1,no,2,3780000.0
352,5830,1,no,2,3780000.0
353,2856,1,yes,3,3780000.0
354,8400,1,no,2,3780000.0
355,8250,1,no,3,3773000.0
356,2520,2,no,5,3773000.0
357,6930,1,no,4,3773000.0
358,3480,1,yes,2,3745000.0
359,3600,1,no,3,3710000.0
360,4040,1,no,2,3710000.0
361,6020,1,no,3,3710000.0
362,4050,1,no,2,3710000.0
363,3584,1,no,2,3710000.0
364,3120,1,no,3,3703000.0
365,5450,1,no,2,3703000.0
366,3630,1,no,2,3675000.0
367,3630,1,no,2,3675000.0
368,5640,1,no,2,3675000.0
369,3600,1,no,2,3675000.0
370,4280,1,no,2,3640000.0
371,3570,1,no,3,3640000.0
372,3180,1,no,3,3640000.0
373,3000,1,no,2,3640000.0
374,3520,2,no,2,3640000.0
375,5960,1,no,3,3640000.0
376,4130,2,no,3,3640000.0
377,2850,2,yes,3,3640000.0
378,2275,1,yes,3,3640000.0
379,3520,1,yes,3,3633000.0
380,4500,1,no,2,3605000.0
381,4000,1,yes,2,3605000.0
382,3150,1,no,3,3570000.0
383,4500,2,no,4,3570000.0
384,4500,1,no,2,3570000.0
385,3640,1,no,2,3570000.0
386,3850,1,no,3,3535000.0
387,4240,1,no,3,3500000.0
388,3650,1,no,3,3500000.0
389,4600,1,no,4,3500000.0
390,2135,2,no,3,3500000.0
391,3036,1,no,3,3500000.0
392,3990,1,no,3,3500000.0
393,7424,1,no,3,3500000.0
394,3480,1,no,3,3500000.0
395,3600,1,no,6,3500000.0
396,3640,1,no,2,3500000.0
397,5900,1,no,2,3500000.0
398,3120,1,no,3,3500000.0
399,7350,1,no,2,3500000.0
400,3512,1,yes,2,3500000.0
401,9500,1,yes,3,3500000.0
402,5880,1,no,2,3500000.0
403,12944,1,no,3,3500000.0
404,4900,1,no,3,3493000.0
405,3060,1,no,3,3465000.0
406,5320,1,yes,2,3465000.0
407,2145,1,yes,3,3465000.0
408,4000,1,no,2,3430000.0
409,3185,1,no,2,3430000.0
410,3850,1,no,3,3430000.0
411,2145,1,yes,3,3430000.0
412,2610,1,yes,3,3430000.0
413,1950,2,yes,3,3430000.0
414,4040,1,no,2,3423000.0
415,4785,1,no,3,3395000.0
416,3450,1,no,3,3395000.0
417,3640,1,no,2,3395000.0
418,3500,1,no,4,3360000.0
419,4960,1,no,4,3360000.0
420,4120,1,no,2,3360000.0
421,4750,1,no,2,3360000.0
422,3720,1,no,2,3360000.0
423,3750,1,no,3,3360000.0
424,3100,1,no,3,3360000.0
425,3185,1,no,2,3360000.0
426,2700,1,no,3,3353000.0
427,2145,1,yes,3,3332000.0
428,4040,1,no,2,3325000.0
429,4775,1,no,4,3325000.0
430,2500,1,no,2,3290000.0
431,3180,1,no,4,3290000.0
432,6060,1,no,3,3290000.0
433,3480,1,no,4,3290000.0
434,3792,1,no,4,3290000.0
435,4040,1,no,2,3290000.0
436,2145,1,yes,3,3290000.0
437,5880,1,no,3,3290000.0
438,4500,1,no,2,3255000.0
439,3930,1,no,2,3255000.0
440,3640,1,no,4,3234000.0
441,4370,1,no,3,3220000.0
442,2684,1,no,2,3220000.0
443,4320,1,no,3,3220000.0
444,3120,1,no,3,3220000.0
445,3450,1,no,1,3150000.0
446,3986,2,no,2,3150000.0
447,3500,1,no,2,3150000.0
448,4095,1,no,2,3150000.0
449,1650,1,no,3,3150000.0
450,3450,1,no,3,3150000.0
451,6750,1,no,2,3150000.0
452,9000,1,no,3,3150000.0
453,3069,1,no,2,3150000.0
454,4500,1,no,3,3143000.0
455,5495,1,no,3,3129000.0
456,2398,1,yes,3,3118850.0
457,3000,1,no,3,3115000.0
458,3850,1,no,3,3115000.0
459,3500,1,no,2,3115000.0
460,8100,1,no,2,3087000.0
461,4960,1,no,2,3080000.0
462,2160,1,no,3,3080000.0
463,3090,1,no,2,3080000.0
464,4500,1,no,2,3080000.0
465,3800,1,no,2,3045000.0
466,3090,1,no,3,3010000.0
467,3240,1,no,3,3010000.0
468,2835,1,no,2,3010000.0
469,4600,1,no,2,3010000.0
470,5076,1,no,3,3010000.0
471,3750,1,no,3,3010000.0
472,3630,1,no,4,3010000.0
473,8050,1,no,2,3003000.0
474,4352,1,no,4,2975000.0
475,3000,1,no,2,2961000.0
476,5850,1,no,3,2940000.0
477,4960,1,no,2,2940000.0
478,3600,1,no,3,2940000.0
479,3660,1,no,4,2940000.0
480,3480,1,no,3,2940000.0
481,2700,1,no,2,2940000.0
482,3150,1,no,3,2940000.0
483,6615,1,no,3,2940000.0
484,3040,1,no,2,2870000.0
485,3630,1,no,2,2870000.0
486,6000,1,no,2,2870000.0
487,5400,1,no,4,2870000.0
488,5200,1,no,4,2852500.0
489,3300,1,no,3,2835000.0
490,4350,1,no,3,2835000.0
491,2640,1,no,2,2835000.0
492,2650,1,no,3,2800000.0
493,3960,1,no,3,2800000.0
494,6800,1,no,2,2730000.0
495,4000,1,no,3,2730000.0
496,4000,1,no,2,2695000.0
497,3934,1,no,2,2660000.0
498,2000,1,no,2,2660000.0
499,3630,3,no,3,2660000.0
500,2800,1,no,3,2660000.0
501,2430,1,no,3,2660000.0
502,3480,1,no,2,2660000.0
503,4000,1,no,3,2660000.0
504,3185,1,no,2,2653000.0
505,4000,1,no,3,2653000.0
506,2910,1,no,2,2604000.0
507,3600,1,no,2,2590000.0
508,4400,1,no,2,2590000.0
509,3600,2,no,2,2590000.0
510,2880,1,no,3,2520000.0
511,3180,1,no,3,2520000.0
512,3000,1,no,2,2520000.0
513,4400,1,no,3,2485000.0
514,3000,1,no,3,2485000.0
515,3210,1,no,3,2450000.0
516,3240,1,no,2,2450000.0
517,3000,1,no,2,2450000.0
518,3500,1,no,2,2450000.0
519,4840,1,no,2,2450000.0
520,7700,1,no,2,2450000.0
521,3635,1,no,2,2408000.0
522,2475,1,no,3,2380000.0
523,2787,2,no,4,2380000.0
524,3264,1,no,2,2380000.0
525,3640,1,no,2,2345000.0
526,3180,1,no,2,2310000.0
527,1836,1,no,2,2275000.0
528,3970,1,no,1,2275000.0
529,3970,1,no,3,2275000.0
530,1950,1,no,3,2240000.0
531,5300,1,yes,3,2233000.0
532,3000,1,no,2,2135000.0
533,2400,1,no,3,2100000.0
534,3000,1,no,4,2100000.0
535,3360,1,no,2,2100000.0
536,3420,1,no,5,1960000.0
537,1700,1,no,3,1890000.0
538,3649,1,no,2,1890000.0
539,2990,1,no,2,1855000.0
540,3000,1,no,2,1820000.0
541,2400,1,no,3,1767150.0
542,3620,1,no,2,1750000.0
543,2910,1,no,3,1750000.0
544,3850,1,no,3,1750000.0
545,2126,1,Rural,4,215355.28361820136
546,2459,2,Rural,3,195014.22162584803
547,1860,1,Suburb,2,306891.0120763329
548,2294,1,Urban,2,206786.78715332696
549,2130,2,Suburb,5,272436.239065061
550,2095,3,Suburb,2,198208.80390657103
551,2724,1,Suburb,2,343429.3191099182
552,2044,3,Rural,4,184992.321268412
553,2638,3,Urban,4,377998.58815204125
554,1121,2,Urban,5,95961.92601406392
555,1466,3,Suburb,5,191113.7686788604
556,2238,3,Suburb,3,253358.64500167352
557,1330,2,Suburb,2,132172.3926169813
558,2482,3,Suburb,4,231157.02767588635
559,1087,1,Urban,4,118393.82316264397
560,2396,2,Suburb,2,267377.3996858498
561,2123,2,Rural,5,190773.14856300573
562,1871,2,Suburb,4,172989.80490101498
563,2687,1,Urban,5,239222.6677969504
564,1130,3,Rural,4,143050.20178240183
565,2685,3,Urban,4,405523.82831733953
566,2332,3,Rural,3,263954.1540627713
567,1769,1,Suburb,4,148310.62016790514
568,1343,3,Rural,2,151733.92248999208
569,2515,3,Urban,2,307961.1073823952
570,2437,1,Rural,2,276162.86180465267
571,1805,1,Rural,5,243985.2054715822
572,1385,3,Rural,4,88030.54185271678
573,2215,1,Urban,5,282908.98169371625
574,1955,1,Rural,3,240976.55176671065
575,1276,1,Rural,4,104747.33458904953
576,2184,2,Suburb,2,347207.38956128363
577,1459,2,Rural,3,77493.9314389322
578,2337,3,Suburb,3,331851.0816694101
579,1021,3,Rural,4,110408.67080143408
580,1252,1,Urban,2,127932.75677961828
581,1747,3,Rural,5,228683.2269961876
582,1856,2,Rural,4,124711.70785494654
583,2584,3,Suburb,2,415850.77083678055
584,1474,3,Urban,3,184819.96119001516
585,2082,2,Suburb,4,164855.98777549056
586,1510,2,Suburb,3,156928.01471681413
587,2705,1,Urban,2,282457.8613741379
588,2499,1,Urban,5,287591.6728221959
589,1699,1,Rural,5,156313.5941951282
590,1975,3,Suburb,3,279764.3710402287
591,2806,3,Suburb,3,366494.48060208897
592,1189,3,Urban,3,244539.2816890332
593,1957,2,Rural,4,239299.9944944986
594,1686,3,Urban,2,249148.34468610145
595,1957,2,Rural,3,304197.5798399542
596,1562,3,Rural,3,89378.55062087673
597,2899,3,Rural,3,427295.4046033164
598,2590,2,Suburb,5,328501.8015463275
599,2267,2,Urban,3,215867.4189845816
600,1831,2,Rural,2,190058.8928999779
601,2528,1,Urban,5,259751.15444635935
602,2154,1,Rural,2,166810.3886512713
603,2508,3,Suburb,5,352932.1624639027
604,2842,3,Urban,5,422042.91851435706
605,1646,3,Suburb,4,91423.61964633202
606,1020,1,Rural,5,220053.8603574218
607,1840,3,Suburb,5,216148.20845399628
608,1166,2,Suburb,2,161587.15372788318
609,2297,2,Urban,2,194967.9094711132
610,1387,1,Rural,3,152828.720291152
611,1600,2,Rural,4,256725.9809436184
612,1315,2,Suburb,5,98039.30310069738
613,1013,3,Urban,4,164858.18694892063
614,1241,2,Urban,3,199373.18209909197
615,1776,2,Urban,4,181245.4467436535
616,2369,1,Suburb,5,209700.7184829428
617,1564,2,Rural,2,163053.3920501942
618,1897,2,Rural,4,304004.68986597785
619,2363,3,Urban,5,308830.9396512381
620,1091,3,Urban,3,194294.00184175
621,2390,3,Urban,5,172777.3198326151
622,1955,1,Suburb,4,197656.07026552537
623,2478,3,Urban,5,273365.49912049377
624,2451,2,Rural,5,216047.21814963987
625,1508,1,Urban,4,149586.15312931265
626,1775,2,Suburb,4,214171.08224172727
627,2966,2,Rural,3,277419.0001600792
628,1034,3,Rural,5,117295.37520060757
629,1205,1,Urban,2,180760.867453112
630,2104,1,Suburb,4,202715.1601476104
631,2955,3,Rural,5,378403.5710107572
632,2585,1,Suburb,2,257776.0924243205
633,2895,2,Suburb,2,266046.87792908505
634,2411,1,Rural,5,337645.67623531295
635,2025,2,Rural,5,240145.9702539115
636,2021,1,Suburb,5,92641.62211021264
637,2413,1,Urban,2,152037.88283583574
638,1565,3,Rural,5,149848.61640852437
639,2129,3,Urban,4,220384.43445019663
640,2795,1,Rural,2,305658.56385268376
641,2845,2,Urban,4,318297.25657762005
642,2500,3,Rural,4,230749.27633657065
643,1702,3,Urban,5,201925.84088885225
644,1401,3,Suburb,4,149576.68114338422
645,1729,1,Rural,5,171877.06629783398
646,2579,2,Urban,2,245276.73391788083
647,1161,2,Suburb,4,288571.1271841178
648,1201,1,Urban,5,87804.5603712397
649,2981,2,Rural,3,267127.0106286388
650,1995,3,Suburb,5,221217.76933158597
651,1269,2,Suburb,3,218784.63298580731
652,2886,3,Rural,5,315607.02376495936
653,1815,3,Urban,3,217967.92847377845
654,2294,1,Rural,4,353343.63401135267
655,1455,3,Urban,3,187002.96390785457
656,2485,2,Rural,4,222855.0832963985
657,2750,2,Rural,4,366548.8223262025
658,2275,2,Rural,5,259473.2793370484
659,2016,2,Urban,4,212440.4223945249
660,2725,2,Urban,2,237066.6856356926
661,1295,3,Urban,3,158357.6480582802
662,2748,1,Suburb,5,255619.99775314287
663,1719,1,Suburb,4,190659.43496867083
664,2772,2,Urban,3,284985.43569363654
665,1337,3,Urban,3,214741.228522745
666,1878,1,Suburb,2,128693.02879404814
667,2076,2,Rural,3,184051.98271688656
668,1791,3,Rural,5,242865.26019000952
669,2945,1,Urban,5,295356.77549321775
670,1216,3,Rural,4,107868.93208831896
671,1763,2,Urban,4,207380.13609180792
672,1187,3,Suburb,5,132828.81413178446
673,1379,1,Urban,3,84493.6913127725
674,1492,1,Suburb,3,53360.86540604882
675,2064,3,Rural,2,296199.3496255564
676,2180,1,Urban,4,273924.557395998
677,1014,3,Urban,3,204340.7258965054
678,2836,3,Urban,3,228582.09695971967
679,1064,2,Suburb,4,237384.3466275038
680,2880,2,Rural,5,312245.8679787154
681,2862,3,Urban,3,219408.6249604324
682,1520,1,Rural,2,201334.94160447217
683,2367,2,Suburb,3,221413.5776081872
684,2152,1,Rural,3,306839.62194227794
685,1647,3,Urban,2,126756.3572316613
686,2495,1,Urban,5,328702.8347369156
687,2086,1,Suburb,2,141074.02839361285
688,2162,3,Rural,2,220712.46134879728
689,2522,2,Urban,4,319176.8398973249
690,1592,2,Suburb,3,245299.2098929523
691,1391,1,Rural,5,51154.13113008726
692,2698,3,Urban,3,314018.0283390546
693,1418,3,Suburb,5,222904.25800629333
694,1288,2,Suburb,2,115697.77821526628
695,1378,3,Suburb,4,140714.77037514705
696,2796,3,Suburb,2,178353.14814536367
697,2513,1,Suburb,3,280022.0311214733
698,1230,1,Rural,4,136418.4807787985
699,2017,2,Urban,4,195803.9703359068
700,1040,2,Rural,3,98933.439065306
701,2051,1,Suburb,5,185052.5631740863
702,1134,3,Urban,4,160764.43940877952
703,1200,3,Suburb,5,156394.27348181067
704,2863,1,Suburb,5,333464.1490294491
705,1779,1,Urban,5,211994.3281859909
706,1929,1,Rural,4,252779.69087222763
707,2056,1,Urban,2,288750.4043072761
708,2071,3,Rural,4,185482.06063162317
709,1502,3,Suburb,2,119671.3689479028
710,1406,2,Suburb,4,148891.4193350198
711,2597,1,Rural,2,235810.22355681533
712,2751,2,Suburb,2,357765.11724448414
713,1804,3,Rural,4,216771.35995628755
714,1098,2,Rural,5,102580.49836622812
715,1683,3,Urban,5,208774.14233121456
716,2895,3,Suburb,2,302454.6401474587
717,1725,2,Urban,3,208558.78172335384
718,2570,2,Urban,3,276434.5399454463
719,1960,1,Suburb,4,220786.7119550845
720,2762,3,Urban,4,354268.47524739604
721,1612,1,Suburb,4,142420.97226095255
722,2966,1,Suburb,3,299146.59537507093
723,2485,3,Urban,5,321647.4526525699
724,1642,2,Suburb,4,216976.90806023663
725,2792,1,Suburb,4,243179.70337319985
726,2028,1,Suburb,5,184210.77355558556
727,2241,3,Suburb,2,175779.56815188617
728,1502,2,Urban,4,162271.08640489963
729,1766,2,Rural,3,240727.03972085557
730,1397,1,Urban,3,186900.94639311853
731,1870,3,Rural,4,208692.1497994106
732,1794,1,Rural,3,114333.69387419586
733,1392,2,Rural,5,225281.32417764855
734,1206,1,Suburb,2,110852.45257182162
735,2038,3,Rural,2,206119.18171087175
736,2881,1,Suburb,4,292218.3734233528
737,2577,2,Suburb,4,209166.2973385366
738,1891,3,Suburb,2,283220.10867648444
739,2484,3,Urban,2,354538.82144245284
740,2714,3,Rural,4,290954.49181524914
741,2598,3,Urban,3,207377.55545532453
742,1863,3,Suburb,4,267934.0925699399
743,1742,1,Urban,5,235034.89983819608
744,2264,3,Suburb,4,246611.88309182983
745,1563,2,Urban,4,314867.65157339314
746,2020,3,Suburb,4,278092.75713699666
747,1095,2,Suburb,4,88443.38397499491
748,2923,2,Urban,4,235396.4544878884
749,2757,2,Suburb,4,280503.8129283642
750,1484,2,Rural,3,273072.3372618648
751,2430,2,Urban,4,252666.84831969367
752,1230,1,Urban,2,133914.40680878342
753,1748,2,Suburb,4,142717.8302268369
754,2678,2,Urban,3,266197.0443802551
755,2194,2,Rural,5,245433.69445927496
756,1540,1,Urban,2,177796.40298151918
757,2059,3,Rural,4,226582.27427106167
